epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.7515,0.77907,0.82308,1,0.30092,0.00045728,0.00045728,0.00045728
2,45.2369,0.34865,0.83846,1,0.31472,0.000882872,0.000882872,0.000882872
3,67.6307,0.2829,0.82308,1,0.28528,0.00126178,0.00126178,0.00126178
4,89.9733,0.26668,0.86538,1,0.35556,0.00121679,0.00121679,0.00121679
5,112.34,0.23682,0.83846,1,0.373,0.00114606,0.00114606,0.00114606
6,134.759,0.21972,0.83846,1,0.35293,0.00107532,0.00107532,0.00107532
7,210.466,0.21813,0.83462,1,0.29883,0.00100459,0.00100459,0.00100459
8,232.851,0.16919,0.82692,1,0.36865,0.000933851,0.000933851,0.000933851
9,255.238,0.18489,0.83462,1,0.54453,0.000863116,0.000863116,0.000863116
10,277.598,0.15836,0.83846,1,0.50211,0.00079238,0.00079238,0.00079238
11,299.937,0.16882,0.84231,1,0.51498,0.000721645,0.000721645,0.000721645
12,322.319,0.1328,0.81923,1,0.40905,0.000650909,0.000650909,0.000650909
13,344.658,0.12206,0.84231,1,0.39589,0.000580174,0.000580174,0.000580174
14,367.039,0.1251,0.85769,1,0.37378,0.000509438,0.000509438,0.000509438
15,389.45,0.09966,0.86154,1,0.37535,0.000438703,0.000438703,0.000438703
16,411.838,0.08223,0.83846,1,0.54028,0.000367967,0.000367967,0.000367967
17,434.184,0.0764,0.83846,1,0.42288,0.000297232,0.000297232,0.000297232
18,456.597,0.06417,0.84615,1,0.57463,0.000226497,0.000226497,0.000226497
19,478.997,0.06534,0.82692,1,0.43753,0.000155761,0.000155761,0.000155761
20,501.41,0.05963,0.82692,1,0.52749,8.50255e-05,8.50255e-05,8.50255e-05
