epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.2679,0.8375,0.80443,1,0.36453,0.000462324,0.000462324,0.000462324
2,40.8145,0.31825,0.95572,1,0.12179,0.000892193,0.000892193,0.000892193
3,60.466,0.22632,0.9631,1,0.14094,0.00127491,0.00127491,0.00127491
4,80.091,0.24527,0.85978,1,0.41309,0.00121679,0.00121679,0.00121679
5,99.6918,0.19843,0.93358,1,0.17306,0.00114606,0.00114606,0.00114606
6,119.33,0.19702,0.93358,1,0.18348,0.00107532,0.00107532,0.00107532
7,138.965,0.12736,0.97417,1,0.0796,0.00100459,0.00100459,0.00100459
8,158.536,0.11552,0.97786,1,0.05315,0.000933851,0.000933851,0.000933851
9,178.09,0.09671,0.95941,1,0.12306,0.000863116,0.000863116,0.000863116
10,197.646,0.10212,0.98893,1,0.07061,0.00079238,0.00079238,0.00079238
11,217.324,0.08733,0.98524,1,0.03837,0.000721645,0.000721645,0.000721645
12,237.005,0.07433,0.98155,1,0.03861,0.000650909,0.000650909,0.000650909
13,256.573,0.06744,0.98155,1,0.03738,0.000580174,0.000580174,0.000580174
14,275.93,0.0581,0.98155,1,0.03603,0.000509438,0.000509438,0.000509438
15,295.279,0.06509,0.98524,1,0.0433,0.000438703,0.000438703,0.000438703
16,314.459,0.04032,0.98524,1,0.02828,0.000367967,0.000367967,0.000367967
17,333.688,0.04741,0.98524,1,0.05135,0.000297232,0.000297232,0.000297232
18,352.989,0.04032,0.98524,1,0.02817,0.000226497,0.000226497,0.000226497
19,372.65,0.04231,0.98524,1,0.02207,0.000155761,0.000155761,0.000155761
20,392.335,0.03312,0.98893,1,0.0228,8.50255e-05,8.50255e-05,8.50255e-05
