epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.8509,0.76617,0.84615,1,0.2538,0.00045728,0.00045728,0.00045728
2,50.0101,0.30137,0.91154,1,0.19507,0.000882872,0.000882872,0.000882872
3,72.8843,0.23987,0.83462,1,0.23049,0.00126178,0.00126178,0.00126178
4,96.0608,0.22118,0.90769,1,0.18229,0.00121679,0.00121679,0.00121679
5,119.041,0.20324,0.88462,1,0.24973,0.00114606,0.00114606,0.00114606
6,141.931,0.18063,0.86154,1,0.34772,0.00107532,0.00107532,0.00107532
7,164.939,0.17509,0.9,1,0.26355,0.00100459,0.00100459,0.00100459
8,187.73,0.15104,0.89231,1,0.20298,0.000933851,0.000933851,0.000933851
9,210.716,0.13892,0.88846,1,0.46951,0.000863116,0.000863116,0.000863116
10,233.751,0.12746,0.88846,1,0.22954,0.00079238,0.00079238,0.00079238
11,256.771,0.12892,0.89615,1,0.26864,0.000721645,0.000721645,0.000721645
12,279.711,0.12752,0.90385,1,0.24746,0.000650909,0.000650909,0.000650909
13,302.627,0.11316,0.9,1,0.26875,0.000580174,0.000580174,0.000580174
14,325.676,0.10366,0.88846,1,0.27826,0.000509438,0.000509438,0.000509438
15,348.64,0.09158,0.89231,1,0.26962,0.000438703,0.000438703,0.000438703
16,371.724,0.07686,0.9,1,0.5508,0.000367967,0.000367967,0.000367967
17,394.69,0.08455,0.89615,1,0.26179,0.000297232,0.000297232,0.000297232
18,417.779,0.08321,0.88846,1,0.32136,0.000226497,0.000226497,0.000226497
19,440.557,0.07899,0.89231,1,0.24169,0.000155761,0.000155761,0.000155761
20,463.544,0.05883,0.88846,1,0.28008,8.50255e-05,8.50255e-05,8.50255e-05
